技能ID,名称,类型,apCost(行动力消耗),MP消耗,冷却,倍率%,目标,描述
innate_bushido,武士道,被动,0,0,0,0,自身,固有：武士道（被动）
innate_butterfly_dance,蝴蝶之舞,被动,0,0,0,0,自身,固有：蝴蝶之舞（被动）
innate_chain_bind,锁链束缚,被动,0,0,0,0,自身,固有：锁链束缚（被动）
innate_charm_gaze,魅惑之瞳,被动,0,0,0,0,自身,固有：魅惑之瞳（被动）
innate_dark_blessing,黑暗祝福,被动,0,0,0,0,自身,固有：黑暗祝福（被动）
innate_death_gaze,死亡凝视,被动,0,0,0,0,自身,固有：死亡凝视（被动）
innate_demonize,恶魔化,被动,0,0,0,0,自身,固有：恶魔化（被动）
innate_despair_waltz,绝望轮舞,被动,0,0,0,0,自身,固有：绝望轮舞（被动）
innate_destructive_blow,毁灭重击,被动,0,0,0,0,自身,固有：毁灭重击（被动）
innate_evasion_mastery,闪避精通,被动,0,0,0,0,自身,固有：闪避精通（被动）
innate_fallen_wings,堕落之翼,被动,0,0,0,0,自身,固有：堕落之翼（被动）
innate_forest_step,林间疾行,被动,0,0,0,0,自身,固有：林间疾行（被动）
innate_ghost_step,鬼步,被动,0,0,0,0,自身,固有：鬼步（被动）
innate_gravity_field,重力场,被动,0,0,0,0,自身,固有：重力场（被动）
innate_greatshield_mastery,大盾精通,被动,0,0,0,0,自身,固有：大盾精通（被动）
innate_greatsword_mastery,巨剑精通,被动,0,0,0,0,自身,固有：巨剑精通（被动）
innate_greatsword_mastery_r,巨剑精通（罗莎）,被动,0,0,0,0,自身,固有：巨剑精通（罗莎）（被动）
innate_guardian_heart,守护之心,被动,0,0,0,0,自身,固有：守护之心（被动）
innate_hawk_eye,鹰眼,被动,0,0,0,0,自身,固有：鹰眼（被动）
innate_hold_the_line,坚守阵地,被动,0,0,0,0,自身,固有：坚守阵地（被动）
innate_holy_barrier,神圣壁垒,被动,0,0,0,0,自身,固有：神圣壁垒（被动）
innate_howl,战吼,被动,0,0,0,0,自身,固有：战吼（被动）
innate_iaijutsu,居合术,被动,0,0,0,0,自身,固有：居合术（被动）
innate_immovable,不动如山,被动,0,0,0,0,自身,固有：不动如山（被动）
innate_insight,看破,被动,0,0,0,0,自身,固有：看破（被动）
innate_instant_death,即死攻击,被动,0,0,0,0,自身,固有：即死攻击（被动）
innate_iron_wall,铁壁,被动,0,0,0,0,自身,固有：铁壁（被动）
innate_lance_mastery,骑枪精通,被动,0,0,0,0,自身,固有：骑枪精通（被动）
innate_lethal_strike,致命一击,被动,0,0,0,0,自身,固有：致命一击（被动）
innate_life_blessing,生命祝福,被动,0,0,0,0,自身,固有：生命祝福（被动）
innate_life_drain,生命汲取,被动,0,0,0,0,自身,固有：生命汲取（被动）
innate_light_of_healing,治愈之光,被动,0,0,0,0,自身,固有：治愈之光（被动）
innate_magic_mastery,魔法精通,被动,0,0,0,0,自身,固有：魔法精通（被动）
innate_magic_pierce,破魔之枪,被动,0,0,0,0,自身,固有：破魔之枪（被动）
innate_magic_talent,魔法天赋,被动,0,0,0,0,自身,固有：魔法天赋（被动）
innate_maid_intuition,女仆的直觉,被动,0,0,0,0,自身,固有：女仆的直觉（被动）
innate_nature_affinity,自然亲和,被动,0,0,0,0,自身,固有：自然亲和（被动）
innate_nine_lives,九命猫,被动,0,0,0,0,自身,固有：九命猫（被动）
innate_noble_blood,高贵血统,被动,0,0,0,0,自身,固有：高贵血统（被动）
innate_poison_blade,毒刃,被动,0,0,0,0,自身,固有：毒刃（被动）
innate_sacrifice,牺牲,被动,0,0,0,0,自身,固有：牺牲（被动）
innate_shadow_step,暗影步,被动,0,0,0,0,自身,固有：暗影步（被动）
innate_shared_pain,痛苦共享,被动,0,0,0,0,自身,固有：痛苦共享（被动）
innate_soul_drain,灵魂吸取,被动,0,0,0,0,自身,固有：灵魂吸取（被动）
innate_swallow_return,燕返,被动,0,0,0,0,自身,固有：燕返（被动）
innate_tail_sweep,尾巴扫击,被动,0,0,0,0,自身,固有：尾巴扫击（被动）
innate_taunt,嘲讽,被动,0,0,0,0,自身,固有：嘲讽（被动）
innate_tea_time,茶会时间,被动,0,0,0,0,自身,固有：茶会时间（被动）
innate_tormenter_joy,拷问者的愉悦,被动,0,0,0,0,自身,固有：拷问者的愉悦（被动）
innate_unyielding_will,不屈意志,被动,0,0,0,0,自身,固有：不屈意志（被动）
innate_wind_guide,风之指引,被动,0,0,0,0,自身,固有：风之指引（被动）
innate_wraith_body,幽冥之躯,被动,0,0,0,0,自身,固有：幽冥之躯（被动）
passive_battle_focus,战斗专注,被动,0,0,0,0,自身,固有：临战不乱，连击倾向提升（被动）。
passive_iron_will,钢铁意志,被动,0,0,0,0,自身,固有：意志坚定，灵性提升（被动）。
passive_keen_eye,鹰眼,被动,0,0,0,0,自身,固有：洞察弱点，幸运提升（被动）。
passive_mana_flow,魔力回流,被动,0,0,0,0,自身,固有：魔力充盈，魔力提升（被动）。
passive_might,怪力,被动,0,0,0,0,自身,固有：天生神力，筋力提升（被动）。
passive_second_wind,回气,被动,0,0,0,0,自身,固有：呼吸绵长，每回合恢复少量生命（被动）。
passive_swift,疾风,被动,0,0,0,0,自身,固有：步伐轻盈，敏捷提升（被动）。
passive_toughness,强韧,被动,0,0,0,0,自身,固有：常年淬炼，耐力成长更佳（被动）。
